BK-1000,03/08/2022,09/08/2022,C1354,SVRO-1111,Room
BK-1001,12/12/2022,01/01/2023,C6521,SVRO-1111,Room
BK-1002,09/09/2022,09/11/2022,C0004,SVRO-1111,Room
BK-1003,11/11/2022,15/11/2022,C1354,SVRO-1111,Room
BK-1004,06/08/2022,06/09/2022,C2222,VSHO-0001,House
BK-1005,06/08/2022,07/08/2022,C6521,SVVL-2451,Villa
BK-1006,09/09/2022,09/10/2022,C3454,VSHO-0013,House
BK-1007,10/09/2022,10/10/2022,C1354,VSHO-0013,House
BK-1008,01/01/2023,01/02/2023,C0004,SVRO-1111,Room
BK-1009,01/01/2023,15/01/2023,C9834,SVRO-1234,Room
BK-1010,04/08/2022,01/01/2023,C6521,SVRO-1235,Room
